Episode,Score,MaxTile,Moves,Duration_Sec,N_Empty,N_Max,N_Snake,N_Merge,N_Corner,N_Neigh,P_Empty,P_Max,P_Snake,P_Merge,P_Corner,P_Neigh
1,6872,512,467,1.6814,0.5082,0.50562,0.50375,0.50123,0.50358,0.50187,0.50409,0.51821,0.51496,0.5048,0.5005,0.51066
2,5060,256,395,1.429,0.51911,0.51925,0.51406,0.5039,0.5043,0.5092,0.50503,0.52252,0.51865,0.50558,0.50047,0.51338
3,6684,512,456,1.6771,0.53135,0.53458,0.52545,0.50782,0.50572,0.51784,0.5069,0.53035,0.52546,0.50828,0.50097,0.51902
4,7004,512,472,1.7177,0.54266,0.5482,0.53539,0.51128,0.50959,0.52413,0.50958,0.54169,0.53465,0.51128,0.50147,0.52753
5,7892,512,544,2.7382,0.55745,0.56619,0.54741,0.5153,0.51417,0.53305,0.51188,0.5539,0.54547,0.51531,0.50299,0.53523
6,15732,1024,910,3.89,0.56779,0.5762,0.5536,0.5188,0.51853,0.5368,0.52125,0.59666,0.57939,0.52726,0.50541,0.56067
7,14636,1024,870,3.0701,0.58423,0.6032,0.57266,0.52617,0.53152,0.54993,0.52641,0.61997,0.59849,0.53275,0.50808,0.57471
8,3188,256,265,1.0819,0.59186,0.61222,0.57907,0.52941,0.53358,0.55439,0.52715,0.62318,0.6013,0.53374,0.50808,0.57705
9,3232,256,273,0.9311,0.59757,0.61865,0.58388,0.53086,0.53494,0.55773,0.52821,0.62789,0.60546,0.53564,0.50808,0.58118
10,7124,512,493,1.8095,0.60954,0.63233,0.59314,0.53466,0.53435,0.56589,0.53108,0.63768,0.61278,0.53738,0.50843,0.5857
11,2368,256,204,0.7668,0.61562,0.63751,0.59673,0.53541,0.53378,0.56917,0.53166,0.63994,0.61478,0.53803,0.50811,0.5871
12,12136,1024,722,2.7106,0.63327,0.66163,0.61359,0.54114,0.53871,0.58149,0.53531,0.65389,0.62623,0.54187,0.51161,0.59627
13,5484,512,390,1.37,0.64226,0.67314,0.62206,0.54397,0.54208,0.58734,0.53675,0.65982,0.6311,0.54373,0.51489,0.59893
14,11944,1024,710,2.4616,0.659,0.69712,0.63793,0.54972,0.55123,0.5979,0.54177,0.67846,0.64632,0.54838,0.51703,0.61161
15,12132,1024,720,2.5039,0.67872,0.72669,0.65783,0.5566,0.55747,0.61102,0.54493,0.69166,0.65741,0.55181,0.51996,0.62041
16,14432,1024,847,2.8576,0.69763,0.75452,0.67686,0.56421,0.5621,0.6244,0.54996,0.71599,0.67714,0.55682,0.5236,0.63701
17,2864,256,233,0.8034,0.70399,0.76175,0.68205,0.56539,0.56271,0.62797,0.55081,0.71868,0.67934,0.55776,0.5236,0.63938
18,16092,1024,961,3.4266,0.71817,0.78085,0.69498,0.57119,0.56575,0.63614,0.5596,0.76312,0.71521,0.56867,0.52434,0.66897
19,12820,1024,773,2.8173,0.73135,0.7997,0.70813,0.57683,0.57196,0.64563,0.56666,0.79114,0.73823,0.57547,0.53183,0.6851
20,12272,1024,738,2.9318,0.74731,0.82233,0.72446,0.58155,0.58007,0.65709,0.57042,0.8122,0.7566,0.58131,0.53183,0.70141
21,7212,512,494,1.7394,0.75835,0.83533,0.73406,0.58388,0.58192,0.66426,0.57431,0.82839,0.77006,0.58608,0.53524,0.71298
22,7900,512,552,2.0289,0.76701,0.84517,0.74032,0.58665,0.58284,0.67033,0.57939,0.84931,0.78835,0.59248,0.53674,0.72803
23,3188,256,265,0.9778,0.77394,0.85298,0.74638,0.5882,0.58586,0.67479,0.58012,0.85264,0.79103,0.5935,0.5384,0.73022
24,16060,1024,935,3.3225,0.79348,0.8822,0.76741,0.59549,0.5908,0.69021,0.58626,0.88238,0.81614,0.60067,0.54645,0.74797
25,6748,512,464,1.637,0.80959,0.90295,0.78247,0.59968,0.59179,0.70177,0.58787,0.89,0.82269,0.60258,0.54645,0.75381
26,3652,256,300,1.1175,0.82131,0.91664,0.79226,0.60223,0.59249,0.70843,0.58769,0.89112,0.82375,0.6027,0.54645,0.75442
27,6944,512,468,1.6276,0.83446,0.93399,0.80472,0.60654,0.59333,0.71753,0.58975,0.8996,0.83112,0.60525,0.54645,0.76075
